61,Nº 01,PLOMO,Nº 01,CATECISMO MENOR,ARQUIDIÓCESIS DE TRUJILLO,6195,EDITORIAL: GRAFICART,220,
62,Nº 01,PLOMO,Nº 01,UN AMOR QUE NUNCA MUERE,CONGREGACIÓN SALESSIANA EN EL PERÚ ,NO,EDITORIAL: SALESIANA,80,
63,Nº 01,PLOMO,Nº 01,LA BIBLIA LATINOAMÉRICANA,SAN PABLO (PROTASIO GÓMEZ),NO,EDITORAL: VERBO DIVINO,465,
64,Nº 01,PLOMO,Nº 01,EL EVANGELIO SEGUROS SAN MARCOS,REINA - VALERA,8111,SOCIEDAD BIBLICA DE MEXICO A.C.,62,
65,Nº 01,PLOMO,Nº 01,LLAMADO AL REINO ,JEAN SHELDON LEO R. JAN DOLSON,NO,EDITORIAL - IMPRENTA UNIÓN,98,
66,Nº 01,PLOMO,Nº 01,EL PROCESO DE JESÚS ,ALEJANDRO CRUZADO BALCAZAR,4505,EDITORIAL: LIBERTAD E.I.R.L.,256,
67,Nº 01,PLOMO,Nº 01,EL MINISTERIO DE LA IGLESIA ,,NO,EDITORIAL UNIVERSO S.A,128,
68,Nº 01,PLOMO,Nº 01,JESÚS NUESTRO SALVADOR ,,5084,EDITORIAL: LATINA S.R. LTDA,93,
69,Nº 01,PLOMO,Nº 01,EL SANTO EVANGELIO ,JOSÉ GIRABAL,5321,EDITORIAL: MONAR,122,
70,Nº 01,PLOMO,Nº 02,DESARROLLO HUMANO  Y LIBERTADES,PATRICIA RUIZ - BRAVO / PELI PATRÓN / PABLO QUINTANILLA,8710,FONDO EDITORIAL: PONTIFICA UNIVERSIDAD CATÓLICA ,292,
71,Nº 01,PLOMO,Nº 02,DICCIONARIO ENCICLOPÉDICO DE CIENCIA POLÍTICA Y RELACIONES INTERNACIONALES,ARMANDO CALMET LUNA,8708,EDITORIAL: UNIVERSITARÍA ,663,
72,Nº 01,PLOMO,Nº 02,GASTRONOMÍA E IDENTIDAD NACIONAL,ORLANDO VELÁSQUEZ BENITES,8779,EDITORIAL: UNIVERSIDAD NACIONAL DE TRUJILLO,252,
73,Nº 01,PLOMO,Nº 02,MATEMÁTICAS FINANCIERAS ,GUILLERMO L.DUMRANF,8745,EDITORIAL: ALFAOMEGA S.A. ,329,
74,Nº 01,PLOMO,Nº 02,INTRODUCCIÓN A LA ECONOMÍA ,ANA GRONE,8753,EDITORIAL: PEARSON,548,
75,Nº 01,PLOMO,Nº 02,ESTADÍSTICAS-¡¡APRUEBE SU EXAMEN CON SCHAUN!!,"MURRAY R. SPIEGEL, LARRY J. SLEPHENS",8773,EDITORIAL: ME GRAW HILL,577,
76,Nº 01,PLOMO,Nº 02,DICCIONARIO DE GASTRONOMÍA PERUANA TRADICIONAL,SERGIO ZAPATA A.CHA,8770,IMPRENTA GRÁFICA BIBLOS ,779,
77,Nº 01,PLOMO,Nº 02,PRODUCCIÓN DE LECHE EN ZONAS TEMPLADAS Y TROPICALES,MIGUEL MELLADO BOSQUE,8761,EDITORIAL: TRILLAS ,350,
78,Nº 01,PLOMO,Nº 02,MANUAL BÁSICO PARA ELABORAR PRODUCTOS LÁCTEOS,"ABRAHAM VILLEGAS DE GANTE, ARMANDO SANTOS MORENO",8760,EDITORIAL: TRILLAS S.A. DE C.V.,182,
79,Nº 01,PLOMO,Nº 02,USTED: CÓDIGO DE UN BUEN NEGOCIO ,FRIDA HOLLER ,8762,GRUPO EDITORIAL: MESA REDONDA,203,
80,Nº 01,PLOMO,Nº 02,INGENIERÍA AMBIENTAL,JAMES R. MIHELCIC - JULIE BETH ZIMMERMAN,8746,ALFAOMEGA GRUPO EDITOR S.A. DE C.V.,696,
81,Nº 01,PLOMO,Nº 02,MACROECONOMÍA - VERSIÓN PARA LATINOAMÉRICANA,"MICHAEL PARKIN, EDUARDO LORÍA",8741,EDITORIAL IMPRESORA APOLO S.A. DE C.V,404,
82,Nº 01,PLOMO,Nº 02,MACROECONOMÍA - VERSIÓN PARA LATINOAMÉRICANA,"MICHAEL PARKIN, EDUARDO LORÍA",8742,EDITORIAL IMPRESORA APOLO S.A. DE C.V,486,
83,Nº 01,PLOMO,Nº 02,DICCIONARIO DE FILOSOFÍA TOMO I (A-D),J. FERRATER MORA,8725,"EDITORIAL: ARIEL,S.A. BARCELONA",957,
84,Nº 01,PLOMO,Nº 02,DICCIONARIO DE FILOSOFÍA TOMO II (E-J),J. FERRATER MORA,8726,"EDITORIAL: ARIEL,S.A. BARCELONA",1986,
85,Nº 01,PLOMO,Nº 02,DICCIONARIO DE FILOSOFÍA TOMO III (K-P),J. FERRATER MORA,8727,"EDITORIAL: ARIEL,S.A. BARCELONA",2967,
86,Nº 01,PLOMO,Nº 02,DICCIONARIO DE FILOSOFÍA TOMO IV (Q-R),J. FERRATER MORA,8728,"EDITORIAL: ARIEL,S.A. BARCELONA",3830,
87,Nº 01,PLOMO,Nº 02,HISTORIAS A LA LUZ DEL CANDIL ,"SANIEL E. LOZANO ALVARADO, BETY SÁNCHEZ LAYZA",8718,"EDITORIAL, IMPRENTA Y PUBLICIDAD: GRAFICART",264,
88,Nº 01,PLOMO,Nº 02,HISTORIA DE UN FAROL,SANIEL E. LOZANO ALVARADO,8717,PRODUCCIÓN GRAFICA Y PUBLICIDAD. GRAFICART,98,
89,Nº 01,PLOMO,Nº 02,NUEVO CALENDARIO CÍVICO ESCOLAR GENERAL,"LIC. JOSÉ ANTONIO ALMEYDA TARAZONA, PROF: ORLANDO M. ALMEYDA SÁENZ",8711,EDITORIAL M.V. FÉNIX E.I.R.L.,390,
90,Nº 01,PLOMO,Nº 02,PARA CONOCER LA CONSTITUCIÓN DE 1993 ,MARCIAL RUBIO CORREA,8712,FONDO EDITORIAL: PONTIFICA UNIVERSIDAD CATÓLICA DEL PERÚ ,325,
91,Nº 01,PLOMO,Nº 02,LITERATURA REGIONAL DE LA LIBERTAD,SANIEL E. LOZANO ALVARADO,8720,FONDO EDITORIAL: DE LA UNIVERSIDAD PRIVADA ANTENOR ORREGO,283,
92,Nº 01,PLOMO,Nº 02,LOS SENDEROS DEL LENGUAJE ,SANIEL E. LOZANO ALVARADO,8719,EDITORIAL PRODUCCIÓN GRAFIA Y PUBLICIDAD: GRAFICART,401,
93,Nº 01,PLOMO,Nº 02,PAISAJES CULTURALES EN EL VALLE DEL JEQUETEPEQUE LOS YACIMIENTOS ARQUEOLÓGICOS,"TOM D. DILLEHAY ALAN L. KOLATA, EDWARD SWENSON",8714,EDITORIAL: HORIZONTE,329,
94,Nº 01,PLOMO,Nº 02,NUEVA GRAMÁTICA DE LA LENGUA ESPAÑOLA (MORFOLOGÍA SINTAXIS) VOLUMEN I,REAL ACADEMIA ESPÀÑOLA,8722,EDITORAL: PLANETA PERÚ S.A.,212,
95,Nº 01,PLOMO,Nº 02,MITOGRAFÍA Y DISEÑO MOCHE,"ENRIQUE VERGARA MONTERO, MANUEL SÁNCHEZ VERA",2716,IMPRESIÓN ATLANTIDA,189,
96,Nº 01,PLOMO,Nº 02,DICCIONARIO DE CIENCIAS SOCIALES (A-F),ROGELIO MORENO RODRÍGUEZ ,8723,GRAFICA: LAF S.R.L.,705,
97,Nº 01,PLOMO,Nº 02,DICCIONARIO DE CIENCIAS SOCIALES (G-Z),ROGELIO MORENO RODRÍGUEZ ,8724,GRAFICA: LAF S.R.L.,703,
